Date,Open,High,Low,Close,Adj Close,Volume
2020-05-01,71.5625,74.75,71.4625015258789,72.26750183105469,70.38700866699219,240616800
2020-05-04,72.2925033569336,73.42250061035156,71.58000183105469,73.29000091552734,71.38288879394531,133568000
2020-05-05,73.76499938964844,75.25,73.61499786376953,74.38999938964844,72.45426940917969,147751200
2020-05-06,75.11499786376953,75.80999755859375,74.71749877929688,75.15750122070312,73.20179748535156,142333600
2020-05-07,75.80500030517578,76.2925033569336,75.49250030517578,75.93499755859375,73.95906829833984,115215200
2020-05-08,76.41000366210938,77.5875015258789,76.07250213623047,77.53250122070312,75.71941375732422,133838400
2020-05-11,77.0250015258789,79.26249694824219,76.80999755859375,78.75250244140625,76.910888671875,145946400
2020-05-12,79.4574966430664,79.92250061035156,77.72750091552734,77.85250091552734,76.03193664550781,162301200
2020-05-13,78.0374984741211,78.98750305175781,75.80249786376953,76.9124984741211,75.11392974853516,200622400
2020-05-14,76.12750244140625,77.44750213623047,75.38249969482422,77.38500213623047,75.57537078857422,158929200
2020-05-15,75.0875015258789,76.9749984741211,75.05249786376953,76.92749786376953,75.12855529785156,166348400
2020-05-18,78.2925033569336,79.125,77.58000183105469,78.73999786376953,76.89867401123047,135178400
2020-05-19,78.75749969482422,79.62999725341797,78.25250244140625,78.28500366210938,76.45433044433594,101729600
2020-05-20,79.16999816894531,79.87999725341797,79.12999725341797,79.80750274658203,77.94121551513672,111504800
2020-05-21,79.66500091552734,80.22250366210938,78.96749877929688,79.2125015258789,77.36012268066406,102688800
2020-05-22,78.94249725341797,79.80750274658203,78.8375015258789,79.72250366210938,77.85821533203125,81803200
2020-05-26,80.875,81.05999755859375,79.125,79.18250274658203,77.33082580566406,125522000
2020-05-27,79.03500366210938,79.67749786376953,78.27249908447266,79.52749633789062,77.66775512695312,112945200
2020-05-28,79.19249725341797,80.86000061035156,78.90750122070312,79.5625,77.7019271850586,133560800
2020-05-29,79.8125,80.2874984741211,79.11750030517578,79.48500061035156,77.62626647949219,153532400
